Device : ;PAX1000VIS/M
Serial Number : ;M00496686
Firmware Version : ;1.0.3
Software Version : ;1.3.1907.145
Wavelength [nm] : ;635
Basic Sample Rate [Hz] : ;50
Operating Mode : ;2 revolutions for one measurement, 2048 points for FFT

Time[date hh:mm:ss]; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2023-05-30 10:09:04.64;0.00:02:24:674;-0.87;0.31;0.40;0.1229;-0.1067;0.03768;0.04883;80.28;11.67;100.30;39.73;92.10;0.1229;0.1233;-0.0003696;-9.105;-9.092;-99.990;0.07;52.35;
2023-05-30 10:09:04.72;0.00:02:24:754;-0.87;0.31;0.40;0.1232;-0.107;0.03789;0.04888;80.25;11.65;100.33;39.68;92.15;0.1232;0.1236;-0.0004038;-9.095;-9.081;-99.990;0.07;52.22;
2023-05-30 10:09:04.80;0.00:02:24:833;-0.87;0.31;0.40;0.1233;-0.1071;0.03781;0.04887;80.28;11.64;100.30;39.64;92.13;0.1233;0.1236;-0.0003639;-9.091;-9.079;-99.990;0.07;52.27;
2023-05-30 10:09:04.89;0.00:02:24:926;-0.87;0.31;0.40;0.1234;-0.1072;0.03778;0.04889;80.29;11.64;100.29;39.63;92.12;0.1234;0.1237;-0.0003532;-9.088;-9.076;-99.990;0.07;52.30;
2023-05-30 10:09:04.97;0.00:02:25:003;-0.87;0.31;0.40;0.1233;-0.1072;0.03778;0.04888;80.29;11.64;100.29;39.63;92.12;0.1233;0.1237;-0.0003515;-9.089;-9.076;-99.990;0.07;52.30;
2023-05-30 10:09:05.05;0.00:02:25:081;-0.87;0.31;0.40;0.1233;-0.1071;0.03776;0.04887;80.29;11.64;100.28;39.63;92.12;0.1233;0.1237;-0.0003499;-9.090;-9.077;-99.990;0.07;52.31;
2023-05-30 10:09:05.12;0.00:02:25:158;-0.87;0.31;0.40;0.1233;-0.1071;0.03775;0.04886;80.29;11.64;100.28;39.64;92.12;0.1233;0.1236;-0.0003491;-9.092;-9.079;-99.990;0.07;52.31;
2023-05-30 10:09:05.20;0.00:02:25:237;-0.87;0.31;0.40;0.1232;-0.107;0.03773;0.04885;80.29;11.65;100.28;39.65;92.11;0.1232;0.1236;-0.0003489;-9.094;-9.082;-99.990;0.07;52.32;
2023-05-30 10:09:05.28;0.00:02:25:316;-0.87;0.31;0.40;0.1231;-0.107;0.03771;0.04884;80.29;11.65;100.29;39.66;92.11;0.1231;0.1235;-0.0003522;-9.096;-9.084;-99.990;0.07;52.33;
2023-05-30 10:09:05.37;0.00:02:25:407;-0.87;0.31;0.40;0.1231;-0.1069;0.0377;0.04883;80.29;11.65;100.29;39.67;92.11;0.1231;0.1234;-0.0003531;-9.098;-9.085;-99.990;0.07;52.32;
