Device : ;PAX1000VIS/M
Serial Number : ;M00496686
Firmware Version : ;1.0.3
Software Version : ;1.3.1907.145
Wavelength [nm] : ;635
Basic Sample Rate [Hz] : ;50
Operating Mode : ;2 revolutions for one measurement, 2048 points for FFT

Time[date hh:mm:ss]; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2023-05-30 10:11:49.59;0.00:05:09:630;-0.68;-0.38;0.63;0.1261;-0.08398;-0.04718;0.07777;-75.34;19.46;98.21;61.70;76.42;0.1261;0.1238;0.002251;-8.994;-9.073;-26.477;0.16;121.24;
2023-05-30 10:11:49.67;0.00:05:09:707;-0.68;-0.38;0.63;0.126;-0.08397;-0.04717;0.07777;-75.34;19.46;98.21;61.70;76.41;0.126;0.1238;0.002258;-8.995;-9.073;-26.462;0.16;121.24;
2023-05-30 10:11:49.75;0.00:05:09:785;-0.68;-0.38;0.63;0.126;-0.08396;-0.04716;0.07775;-75.34;19.46;98.20;61.69;76.41;0.126;0.1238;0.002263;-8.995;-9.074;-26.453;0.16;121.24;
2023-05-30 10:11:49.84;0.00:05:09:875;-0.68;-0.38;0.63;0.126;-0.08397;-0.04717;0.07775;-75.34;19.46;98.21;61.69;76.42;0.126;0.1238;0.002257;-8.995;-9.074;-26.464;0.16;121.25;
2023-05-30 10:11:49.92;0.00:05:09:954;-0.68;-0.38;0.63;0.126;-0.08396;-0.04717;0.07774;-75.34;19.46;98.21;61.69;76.42;0.126;0.1238;0.002259;-8.996;-9.074;-26.460;0.16;121.25;
2023-05-30 10:11:49.99;0.00:05:10:030;-0.68;-0.38;0.63;0.126;-0.08393;-0.04716;0.07772;-75.33;19.46;98.20;61.68;76.41;0.126;0.1237;0.002265;-8.997;-9.075;-26.450;0.16;121.25;
2023-05-30 10:11:50.07;0.00:05:10:107;-0.68;-0.38;0.63;0.126;-0.08392;-0.04716;0.0777;-75.33;19.46;98.20;61.68;76.41;0.126;0.1237;0.002263;-8.997;-9.076;-26.453;0.16;121.25;
2023-05-30 10:11:50.15;0.00:05:10:188;-0.68;-0.38;0.63;0.126;-0.08392;-0.04716;0.07769;-75.33;19.45;98.21;61.68;76.42;0.126;0.1237;0.002259;-8.998;-9.076;-26.460;0.16;121.26;
2023-05-30 10:11:50.24;0.00:05:10:277;-0.68;-0.38;0.63;0.1259;-0.0839;-0.04715;0.07768;-75.33;19.45;98.20;61.68;76.42;0.1259;0.1237;0.002263;-8.998;-9.077;-26.452;0.16;121.25;
2023-05-30 10:11:50.32;0.00:05:10:354;-0.68;-0.38;0.63;0.1259;-0.08388;-0.04714;0.07766;-75.33;19.45;98.20;61.68;76.42;0.1259;0.1236;0.002265;-8.999;-9.078;-26.449;0.16;121.26;
2023-05-30 10:11:50.40;0.00:05:10:432;-0.68;-0.38;0.63;0.1259;-0.08387;-0.04713;0.07764;-75.33;19.45;98.20;61.67;76.42;0.1259;0.1236;0.002269;-9.000;-9.079;-26.441;0.16;121.26;
2023-05-30 10:11:50.47;0.00:05:10:509;-0.68;-0.38;0.63;0.1259;-0.08386;-0.04714;0.07764;-75.33;19.45;98.20;61.67;76.42;0.1259;0.1236;0.002263;-9.000;-9.079;-26.452;0.16;121.26;
2023-05-30 10:11:50.57;0.00:05:10:603;-0.68;-0.38;0.63;0.1259;-0.08387;-0.04713;0.07763;-75.33;19.45;98.20;61.67;76.42;0.1259;0.1236;0.002269;-9.000;-9.079;-26.441;0.16;121.26;
2023-05-30 10:11:50.64;0.00:05:10:679;-0.68;-0.38;0.63;0.1259;-0.08388;-0.04713;0.07765;-75.33;19.45;98.20;61.67;76.41;0.1259;0.1236;0.002272;-8.999;-9.078;-26.436;0.16;121.26;
2023-05-30 10:11:50.72;0.00:05:10:756;-0.68;-0.38;0.63;0.126;-0.08391;-0.04717;0.07769;-75.33;19.45;98.20;61.67;76.42;0.126;0.1237;0.002265;-8.998;-9.076;-26.450;0.16;121.26;
2023-05-30 10:11:50.80;0.00:05:10:834;-0.68;-0.38;0.63;0.1264;-0.08424;-0.04749;0.07834;-75.29;19.51;98.46;61.98;76.51;0.1264;0.1244;0.001941;-8.983;-9.050;-27.120;0.16;121.23;
2023-05-30 10:11:50.88;0.00:05:10:913;-0.68;-0.38;0.63;0.1268;-0.08447;-0.04732;0.0785;-75.37;19.52;98.34;61.93;76.39;0.1268;0.1246;0.002109;-8.970;-9.043;-26.758;0.16;121.08;
2023-05-30 10:11:50.97;0.00:05:11:003;-0.68;-0.38;0.63;0.1267;-0.08446;-0.04732;0.07847;-75.37;19.51;98.33;61.92;76.39;0.1267;0.1246;0.002119;-8.971;-9.044;-26.740;0.16;121.09;
